"Offer No."	"Type"	"No."	"Variant Type"	"Variant Code"	"Exclude"	"Unit of Measure"	"Description"	"No. of Items Needed"	"Line Group"	"Deal Price/Disc. %"	"Disc. Type"	"Standard Price"	"Standard Price Including VAT"	"Discount Amount"	"Discount Amount Including VAT"	"Offer Price"	"Offer Price Including VAT"
"QAT-MM-00009"	"Item"	"5059726628079"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726628086"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726111649"	" "	""	"No"	""	"CODE CORE POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726111656"	" "	""	"No"	""	"CODE CORE POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726111663"	" "	""	"No"	""	"CODE CORE POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726111670"	" "	""	"No"	""	"CODE CORE POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638533"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638540"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638557"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638564"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638618"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638625"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638632"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638649"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638656"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638663"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638670"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5057847638687"	" "	""	"No"	""	"CODE ESSENTIAL POOL SLIDE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320546"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320553"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320560"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320577"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320584"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320744"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320751"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320768"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320775"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726320782"	" "	""	"No"	""	"CORE RELAXED SHORTS"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00009"	"Item"	"5059726355807"	" "	""	"No"	""	"GYMTECH ZIP HOODIE"	"0"	""	"50.12531"	"Disc. %"	"399.00"	"399.00"	"200.00"	"200.00"	"199.00"	"199.00"
